iter	Logloss
0	0.689915911
1	0.6870586426
2	0.6845747001
3	0.6826757673
4	0.681029248
5	0.6801211007
6	0.6788134208
7	0.6779552525
8	0.6770667132
9	0.6760503627
10	0.6753983468
11	0.6747305525
12	0.6740490513
13	0.6734507324
14	0.6729512556
15	0.6725379046
16	0.6721066406
17	0.6715284877
18	0.6710885184
19	0.6706049386
20	0.6702214286
21	0.6700049456
22	0.6696819824
23	0.6692833566
24	0.6689395508
25	0.6687412877
26	0.6685640276
27	0.6682695103
28	0.6679649554
29	0.667556829
30	0.6672999302
31	0.667014481
32	0.6668756138
33	0.6665372489
34	0.6662634417
35	0.6660890695
36	0.6659640765
37	0.6656459542
38	0.6653621164
39	0.6651654646
40	0.6650324149
41	0.6648445522
42	0.6646577916
43	0.6644890904
44	0.6643064174
45	0.6640906669
46	0.6639834194
47	0.6637807268
48	0.6634997559
49	0.6632502162
50	0.6630917969
51	0.6629666085
52	0.6627786342
53	0.6626800642
54	0.6625222098
55	0.6623860421
56	0.6622381138
57	0.6620985421
58	0.6619729841
59	0.661809375
60	0.6616509975
61	0.6615152344
62	0.6613168039
63	0.661153139
64	0.6609758789
65	0.6608354701
66	0.6607568848
67	0.6607047363
68	0.6605036203
69	0.6604157575
70	0.6603059082
71	0.6602010114
72	0.6600208496
73	0.6598845075
74	0.6596732352
75	0.6595615862
76	0.6593294992
77	0.6591506417
78	0.6590549177
79	0.658957101
80	0.6589074847
81	0.6588436872
82	0.6587128069
83	0.6585898926
84	0.6584879255
85	0.658367892
86	0.6582300293
87	0.6581438058
88	0.6579797642
89	0.6578433315
90	0.6577101911
91	0.6575014858
92	0.6573515416
93	0.6572792829
94	0.6571954729
95	0.6570780204
96	0.6569745884
97	0.6568596331
98	0.6566484584
99	0.6565195033
100	0.6563909389
101	0.6562067383
102	0.6561543806
103	0.6559981724
104	0.6558243722
105	0.6556323103
106	0.6554088449
107	0.6552323172
108	0.6550622698
109	0.6549067313
110	0.6547978097
111	0.6546994141
112	0.6545976423
113	0.6544647321
114	0.6543512835
115	0.6541837681
116	0.6540685198
117	0.6538640555
118	0.6536961775
119	0.6535399693
