iter	Passed	Remaining
0	13	1587
1	19	1143
2	26	1022
3	35	1020
4	41	958
5	51	977
6	59	964
7	65	920
8	73	907
9	80	882
10	86	853
11	106	954
12	113	932
13	119	907
14	128	896
15	138	897
16	149	906
17	155	882
18	162	865
19	170	852
20	180	852
21	194	865
22	202	852
23	213	855
24	222	847
25	228	826
26	239	825
27	244	804
28	251	787
29	259	777
30	265	760
31	271	745
32	276	729
33	281	713
34	288	700
35	294	686
36	300	673
37	305	660
38	312	648
39	318	636
40	323	624
41	329	612
42	335	601
43	341	589
44	347	579
45	353	569
46	360	559
47	366	549
48	371	539
49	376	527
50	382	517
51	388	507
52	393	497
53	399	488
54	405	479
55	410	469
56	416	460
57	421	450
58	427	441
59	433	433
60	439	424
61	445	416
62	450	407
63	456	399
64	462	391
65	468	383
66	473	374
67	478	366
68	485	358
69	491	351
70	509	351
71	517	344
72	527	339
73	543	337
74	555	333
75	562	325
76	588	328
77	593	319
78	601	312
79	609	304
80	617	297
81	633	293
82	642	286
83	650	278
84	665	273
85	675	267
86	690	262
87	701	255
88	711	247
89	720	240
90	731	233
91	738	224
92	750	217
93	757	209
94	767	201
95	777	194
96	787	186
97	800	179
98	812	172
99	819	163
100	829	156
101	836	147
102	844	139
103	852	131
104	864	123
105	883	116
106	896	108
107	906	100
108	914	92
109	926	84
110	936	75
111	947	67
112	955	59
113	961	50
114	969	42
115	976	33
116	986	25
117	993	16
118	1001	8
119	1007	0
